after_task,step,task_0,task_1,task_2,task_3,task_4
0,24,0.784500,0.276000,0.250000,0.270500,0.089000
1,49,0.541000,0.001500,0.580500,0.335500,0.085500
2,74,0.225000,0.202000,0.453500,0.586000,0.473000
3,99,0.486000,0.416500,0.126000,0.401500,0.508500
4,124,0.341000,0.511500,0.258500,0.324000,0.649000
