after_task,step,eval_task,acc
0,24,0,0.757500
0,24,1,0.266000
0,24,2,0.271500
0,24,3,0.269500
0,24,4,0.101500
1,49,0,0.498000
1,49,1,0.011500
1,49,2,0.719500
1,49,3,0.388000
1,49,4,0.048500
2,74,0,0.179000
2,74,1,0.082500
2,74,2,0.670000
2,74,3,0.492500
2,74,4,0.325000
3,99,0,0.274500
3,99,1,0.426000
3,99,2,0.001500
3,99,3,0.332500
3,99,4,0.597500
4,124,0,0.449500
4,124,1,0.364500
4,124,2,0.176000
4,124,3,0.197000
4,124,4,0.465000
