after_task,step,eval_task,acc
0,24,0,0.757000
0,24,1,0.257500
0,24,2,0.277500
0,24,3,0.263000
0,24,4,0.098000
1,49,0,0.492000
1,49,1,0.010500
1,49,2,0.724500
1,49,3,0.378500
1,49,4,0.063000
2,74,0,0.174500
2,74,1,0.091000
2,74,2,0.673500
2,74,3,0.485500
2,74,4,0.338000
3,99,0,0.259000
3,99,1,0.419500
3,99,2,0.002500
3,99,3,0.338500
3,99,4,0.584000
4,124,0,0.424500
4,124,1,0.376000
4,124,2,0.172000
4,124,3,0.196000
4,124,4,0.473000
