after_task,step,eval_task,acc
0,24,0,0.618000
0,24,1,0.352000
0,24,2,0.000000
0,24,3,0.307500
0,24,4,0.355000
1,49,0,0.313500
1,49,1,0.000000
1,49,2,0.699500
1,49,3,0.259000
1,49,4,0.080500
2,74,0,0.375500
2,74,1,0.308500
2,74,2,0.366500
2,74,3,0.621000
2,74,4,0.284500
3,99,0,0.473000
3,99,1,0.316000
3,99,2,0.221000
3,99,3,0.450500
3,99,4,0.479000
4,124,0,0.426500
4,124,1,0.601500
4,124,2,0.064000
4,124,3,0.226500
4,124,4,0.621500
