after_task,step,eval_task,acc
0,24,0,0.854500
0,24,1,0.331500
0,24,2,0.182500
0,24,3,0.623500
0,24,4,0.243500
1,49,0,0.759500
1,49,1,0.095000
1,49,2,0.422000
1,49,3,0.663500
1,49,4,0.037000
2,74,0,0.272500
2,74,1,0.324500
2,74,2,0.410000
2,74,3,0.741000
2,74,4,0.601500
3,99,0,0.769000
3,99,1,0.334000
3,99,2,0.206000
3,99,3,0.650500
3,99,4,0.557500
4,124,0,0.421500
4,124,1,0.431000
4,124,2,0.349500
4,124,3,0.579000
4,124,4,0.773000
