after_task,step,eval_task,acc
0,24,0,0.849000
0,24,1,0.368500
0,24,2,0.173000
0,24,3,0.518000
0,24,4,0.210000
1,49,0,0.722500
1,49,1,0.081500
1,49,2,0.434000
1,49,3,0.682000
1,49,4,0.013000
2,74,0,0.269500
2,74,1,0.280000
2,74,2,0.453000
2,74,3,0.765000
2,74,4,0.617500
3,99,0,0.644000
3,99,1,0.391000
3,99,2,0.199000
3,99,3,0.620500
3,99,4,0.608500
4,124,0,0.440000
4,124,1,0.489500
4,124,2,0.258000
4,124,3,0.525500
4,124,4,0.787000
