after_task,step,eval_task,acc
0,24,0,0.603000
0,24,1,0.344500
0,24,2,0.000000
0,24,3,0.299500
0,24,4,0.376500
1,49,0,0.300500
1,49,1,0.000000
1,49,2,0.707500
1,49,3,0.262000
1,49,4,0.076500
2,74,0,0.378500
2,74,1,0.317000
2,74,2,0.380000
2,74,3,0.614000
2,74,4,0.293000
3,99,0,0.462000
3,99,1,0.322500
3,99,2,0.241000
3,99,3,0.457000
3,99,4,0.478000
4,124,0,0.422500
4,124,1,0.609500
4,124,2,0.054000
4,124,3,0.221500
4,124,4,0.623000
