after_task,step,eval_task,acc
0,24,0,0.748000
0,24,1,0.283500
0,24,2,0.261500
0,24,3,0.265500
0,24,4,0.118500
1,49,0,0.502000
1,49,1,0.009500
1,49,2,0.722000
1,49,3,0.377000
1,49,4,0.063500
2,74,0,0.197500
2,74,1,0.096500
2,74,2,0.655500
2,74,3,0.496000
2,74,4,0.357500
3,99,0,0.262500
3,99,1,0.408000
3,99,2,0.004000
3,99,3,0.353000
3,99,4,0.586000
4,124,0,0.421000
4,124,1,0.383500
4,124,2,0.193500
4,124,3,0.207000
4,124,4,0.474500
