after_task,step,eval_task,acc
0,24,0,0.767500
0,24,1,0.250500
0,24,2,0.277000
0,24,3,0.289500
0,24,4,0.106000
1,49,0,0.558500
1,49,1,0.001000
1,49,2,0.584000
1,49,3,0.350500
1,49,4,0.086000
2,74,0,0.217500
2,74,1,0.175000
2,74,2,0.428500
2,74,3,0.604500
2,74,4,0.473000
3,99,0,0.464000
3,99,1,0.420500
3,99,2,0.108000
3,99,3,0.371000
3,99,4,0.513000
4,124,0,0.349000
4,124,1,0.516000
4,124,2,0.233500
4,124,3,0.326000
4,124,4,0.648500
