after_task,step,task_0,task_1,task_2,task_3,task_4
0,24,0.757000,0.257500,0.277500,0.263000,0.098000
1,49,0.492000,0.010500,0.724500,0.378500,0.063000
2,74,0.174500,0.091000,0.673500,0.485500,0.338000
3,99,0.259000,0.419500,0.002500,0.338500,0.584000
4,124,0.424500,0.376000,0.172000,0.196000,0.473000
