after_task,step,task_0,task_1,task_2,task_3,task_4
0,24,0.414000,0.236000,0.401500,0.000000,0.000000
1,49,0.494500,0.000000,0.124500,0.439000,0.000000
2,74,0.001000,0.000000,0.487500,0.376000,0.000000
3,99,0.030500,0.305500,0.009000,0.472000,0.495000
4,124,0.000000,0.510000,0.126000,0.000500,0.619500
