after_task,step,eval_task,acc
0,24,0,0.414000
0,24,1,0.236000
0,24,2,0.401500
0,24,3,0.000000
0,24,4,0.000000
1,49,0,0.494500
1,49,1,0.000000
1,49,2,0.124500
1,49,3,0.439000
1,49,4,0.000000
2,74,0,0.001000
2,74,1,0.000000
2,74,2,0.487500
2,74,3,0.376000
2,74,4,0.000000
3,99,0,0.030500
3,99,1,0.305500
3,99,2,0.009000
3,99,3,0.472000
3,99,4,0.495000
4,124,0,0.000000
4,124,1,0.510000
4,124,2,0.126000
4,124,3,0.000500
4,124,4,0.619500
