after_task,step,eval_task,acc
0,24,0,0.772500
0,24,1,0.250500
0,24,2,0.279000
0,24,3,0.261000
0,24,4,0.086000
1,49,0,0.559500
1,49,1,0.000500
1,49,2,0.578000
1,49,3,0.345500
1,49,4,0.085000
2,74,0,0.206500
2,74,1,0.185000
2,74,2,0.444000
2,74,3,0.589000
2,74,4,0.464000
3,99,0,0.470500
3,99,1,0.412500
3,99,2,0.129500
3,99,3,0.369500
3,99,4,0.510000
4,124,0,0.339500
4,124,1,0.533000
4,124,2,0.253500
4,124,3,0.317500
4,124,4,0.658000
