after_task,step,eval_task,acc
0,24,0,0.750500
0,24,1,0.273000
0,24,2,0.268000
0,24,3,0.264000
0,24,4,0.118500
1,49,0,0.556000
1,49,1,0.001000
1,49,2,0.583500
1,49,3,0.329000
1,49,4,0.085500
2,74,0,0.228500
2,74,1,0.184000
2,74,2,0.430500
2,74,3,0.602000
2,74,4,0.482000
3,99,0,0.446500
3,99,1,0.419500
3,99,2,0.117500
3,99,3,0.379000
3,99,4,0.510000
4,124,0,0.346500
4,124,1,0.522000
4,124,2,0.247000
4,124,3,0.339000
4,124,4,0.647000
