after_task,step,eval_task,acc
0,24,0,0.784500
0,24,1,0.276000
0,24,2,0.250000
0,24,3,0.270500
0,24,4,0.089000
1,49,0,0.541000
1,49,1,0.001500
1,49,2,0.580500
1,49,3,0.335500
1,49,4,0.085500
2,74,0,0.225000
2,74,1,0.202000
2,74,2,0.453500
2,74,3,0.586000
2,74,4,0.473000
3,99,0,0.486000
3,99,1,0.416500
3,99,2,0.126000
3,99,3,0.401500
3,99,4,0.508500
4,124,0,0.341000
4,124,1,0.511500
4,124,2,0.258500
4,124,3,0.324000
4,124,4,0.649000
