after_task,step,eval_task,acc
0,24,0,0.768500
0,24,1,0.268500
0,24,2,0.258500
0,24,3,0.303500
0,24,4,0.099000
1,49,0,0.554500
1,49,1,0.001000
1,49,2,0.575000
1,49,3,0.347500
1,49,4,0.087500
2,74,0,0.212000
2,74,1,0.179000
2,74,2,0.445500
2,74,3,0.592000
2,74,4,0.470500
3,99,0,0.469500
3,99,1,0.419000
3,99,2,0.131000
3,99,3,0.396500
3,99,4,0.512000
4,124,0,0.361000
4,124,1,0.519500
4,124,2,0.244000
4,124,3,0.323000
4,124,4,0.635000
