after_task,step,eval_task,acc
0,24,0,0.755500
0,24,1,0.273500
0,24,2,0.269500
0,24,3,0.282000
0,24,4,0.088500
1,49,0,0.560500
1,49,1,0.001000
1,49,2,0.580500
1,49,3,0.348500
1,49,4,0.089500
2,74,0,0.225000
2,74,1,0.187500
2,74,2,0.453000
2,74,3,0.582000
2,74,4,0.471000
3,99,0,0.502500
3,99,1,0.418500
3,99,2,0.143500
3,99,3,0.402000
3,99,4,0.507000
4,124,0,0.353500
4,124,1,0.508500
4,124,2,0.261000
4,124,3,0.325500
4,124,4,0.638500
