after_task,step,eval_task,acc
0,24,0,0.614500
0,24,1,0.339000
0,24,2,0.000000
0,24,3,0.302000
0,24,4,0.373500
1,49,0,0.302500
1,49,1,0.000000
1,49,2,0.681000
1,49,3,0.257000
1,49,4,0.078500
2,74,0,0.380000
2,74,1,0.300500
2,74,2,0.381000
2,74,3,0.610500
2,74,4,0.289000
3,99,0,0.475000
3,99,1,0.313500
3,99,2,0.228500
3,99,3,0.460000
3,99,4,0.478500
4,124,0,0.420500
4,124,1,0.594000
4,124,2,0.060000
4,124,3,0.219000
4,124,4,0.634500
