after_task,step,task_0,task_1,task_2,task_3,task_4
0,24,0.849000,0.368500,0.173000,0.518000,0.210000
1,49,0.722500,0.081500,0.434000,0.682000,0.013000
2,74,0.269500,0.280000,0.453000,0.765000,0.617500
3,99,0.644000,0.391000,0.199000,0.620500,0.608500
4,124,0.440000,0.489500,0.258000,0.525500,0.787000
