after_task,step,task_0,task_1,task_2,task_3,task_4
0,0,0.266500,0.000000,0.187000,0.000000,0.000000
1,1,0.000000,0.000000,0.500000,0.000000,0.000000
2,2,0.000000,0.000000,0.021500,0.491500,0.000000
3,3,0.000000,0.000000,0.000000,0.000000,0.500000
4,4,0.000000,0.000000,0.000000,0.000000,0.500000
