after_task,step,eval_task,acc
0,24,0,0.745000
0,24,1,0.287000
0,24,2,0.259000
0,24,3,0.280500
0,24,4,0.115000
1,49,0,0.557500
1,49,1,0.000500
1,49,2,0.577000
1,49,3,0.335000
1,49,4,0.091500
2,74,0,0.232000
2,74,1,0.186500
2,74,2,0.448500
2,74,3,0.593500
2,74,4,0.475000
3,99,0,0.493500
3,99,1,0.433000
3,99,2,0.118000
3,99,3,0.374500
3,99,4,0.508000
4,124,0,0.341500
4,124,1,0.511500
4,124,2,0.262000
4,124,3,0.313000
4,124,4,0.637500
